Participant_ID,Interface,Game_Number,FileName,CWrotations,CCWrotations,Thrusts,WorldWraps,FortressCollisions,fortressDestructions,shipDeaths,Total,Points,Velocity,Control,Speed,Bpnt,Bmis,WorldWrapper,delWorldWrapper,discrete_thrusts,discrete_CWrotations,discrete_CCWrotations,Constant_Accelerations,Sex,Gamer,Complete_Game_Files,Complete_Transcript,Joystick_First,gamingComputer,hoursTwoWeeks,lastFiveGames,gamesSerious,Exclude,Sex_by_Interface,Gamer_by_Interface,questionnaire_score,cumulativeGameNumber,totalBonus
1,joy,1,001/p001-joy-1.gam,1348,459,1142,49,12,0,5,-3569,-1376,-882,-931,-380,0,0,0,0,75,108,58,1,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,1,0
1,joy,10,001/p001-joy-10.gam,1378,588,3418,18,26,0,2,-816,-92,-1092,188,180,4,0,0,0,24,127,54,3,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,10,4
1,joy,2,001/p001-joy-2.gam,1572,544,2090,40,16,0,3,-2246,-672,-854,-660,-60,1,0,0,0,82,129,77,6,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,2,1
1,joy,3,001/p001-joy-3.gam,1565,697,2612,26,26,0,4,-1880,-860,-854,-136,-30,2,0,0,0,64,131,69,1,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,3,2
1,joy,4,001/p001-joy-4.gam,1021,732,1571,25,14,0,4,-1503,-838,-784,-61,180,2,0,2,0,103,124,84,2,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,4,2
1,joy,5,001/p001-joy-5.gam,1375,561,2473,21,27,0,3,-1728,-882,-1036,50,140,2,0,0,0,82,128,65,3,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,5,2
1,joy,6,001/p001-joy-6.gam,1360,687,3129,26,33,0,5,-2215,-1266,-966,-123,140,1,0,0,0,35,134,78,0,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,6,1
1,joy,7,001/p001-joy-7.gam,1307,448,2635,32,24,0,2,-1688,-206,-1092,-340,-50,3,0,0,0,74,144,58,2,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,7,3
1,joy,8,001/p001-joy-8.gam,1293,417,3118,25,27,0,4,-2188,-1048,-1106,-74,40,0,0,0,0,41,142,49,2,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,8,0
1,joy,9,001/p001-joy-9.gam,1565,475,3234,11,27,1,2,-468,-208,-952,492,200,1,0,0,0,37,134,54,2,Men,In-between,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5","Battlefield 1
Battlefield 4
FIFA 17",1,Men_joystick,NA,6,9,1
