statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
i see the bonus is yellow like my own ship so its confusing,1,1,361,2,2,16,TRUE,1
wasnt sure if it was a okay bonus iny youre a friend,1,1,420,8,18,213,TRUE,1
another dollar sign bonus,1,1,55,4,4,703,TRUE,1
thats the first bonus symbol b ah i didnt hit it in time,1,1,404,9,19,701,TRUE,1
dollar sign again bonus,1,1,55,5,15,195,TRUE,1
bonus,1,1,57,8,18,542,TRUE,1
p bonus points,1,1,565,8,8,30,TRUE,1
stop i didnt mean to beoh bonus hahaha,1,1,15,3,13,188,TRUE,1
p okay bonus opportunity yup i got the points thats a friendly mine,1,1,50,9,9,115,TRUE,1
oh i got a bonus wow,1,1,15,2,12,99,TRUE,1
bonus,1,1,1,4,4,133,TRUE,1
wouldve been bonus,1,1,56,8,18,600,TRUE,1
come on lets get a bonus,1,1,44,2,2,510,TRUE,1
oh ok i got bonus,1,1,679,1,1,24,TRUE,1
bonus points ill take shots,1,1,41,4,4,450,TRUE,1
keep missing the bonus,1,1,27,8,18,423,TRUE,1
alright second bonus,1,1,7,10,10,544,TRUE,1
another bonus,1,1,43,5,15,47,TRUE,1
middle bonus,1,1,130,8,18,177,TRUE,1
i got a bonus and i didnt even remember it,1,1,7,10,10,557,TRUE,1
bonus,1,1,44,3,3,604,TRUE,1
i cant kill tho oo boom bonus pints it gone,1,1,52,7,7,725,TRUE,1
bonus,1,1,1,4,4,138,TRUE,1
bonus,1,1,26,8,8,133,TRUE,1
okay bonus thats good,1,1,348,1,1,122,TRUE,1
bonus,1,1,902,10,20,168,TRUE,1
p thats bonus,1,1,22,1,1,104,TRUE,1
money sign money sign bonus,1,1,681,6,16,102,TRUE,1
p ok yeah ok gonna start looking for the bonuses now mumbles,1,1,404,8,8,311,TRUE,1
dollar sign bonus nice,1,1,910,2,2,45,TRUE,1
collected the bonus even though i didnt know what it was,1,1,3,9,9,183,TRUE,1
bonus,1,1,130,4,14,81,TRUE,1
bonus i think the bonus is the easiest thing for me at least,1,1,445,6,6,572,TRUE,1
want to get those bonus points,1,1,902,4,14,141,TRUE,1
bonus,1,1,55,9,19,440,TRUE,1
inaudible bonus,1,1,23,4,4,107,TRUE,1
oh my god i got a bonus that was such a guess,1,1,101,4,14,160,TRUE,1
i dont think i need any bonus missiles,1,1,623,5,5,216,TRUE,1
bonus,1,1,6,9,19,293,TRUE,1
i see you bonus,1,1,53,10,10,492,TRUE,1
shoot i definitely clicked the bonus too early,1,1,15,10,10,1296,TRUE,1
thats the bonus i could have gotten,1,1,46,3,3,367,TRUE,1
bonus missiles,1,1,50,1,11,152,TRUE,1
lets get that bonus,1,1,34,8,18,1193,TRUE,1
bonus one,1,1,825,3,13,351,TRUE,1
bonus y,1,1,432,10,20,108,TRUE,1
mumbles got the bonus,1,1,348,8,18,86,TRUE,1
i have 14 shots left i really need bonus shots,1,1,41,3,3,431,TRUE,1
p i messed up my bonus points,1,1,19,2,2,93,TRUE,1
bonus,1,1,44,3,3,585,TRUE,1
i missed a freaking bonus,1,1,113,4,4,390,TRUE,1
oh no i just missed the bonus,1,1,36,6,16,535,TRUE,1
driving straight percent sign thats not even a bonus,1,1,445,7,17,212,TRUE,1
j friendly p friendly money sign money sign bonus killed the fortress,1,1,681,4,14,77,TRUE,1
got a bonus,1,1,46,3,13,54,TRUE,1
bonus,1,1,34,5,15,899,TRUE,1
theres one money sign theres another bonus,1,1,623,4,4,196,TRUE,1
got the bonus,1,1,48,3,3,124,TRUE,1
bonus shot,1,1,27,6,16,362,TRUE,1
got the bonus that time,1,1,54,6,6,400,TRUE,1
bonus,1,1,44,4,4,708,TRUE,1
maybe i can get another bonus if theres a second one,1,1,44,1,1,471,TRUE,1
bonus no,1,1,101,7,17,274,TRUE,1
i should have gotten that bonus,1,1,15,5,15,320,TRUE,1
just got that bonus,1,1,338,10,20,347,TRUE,1
dollar sign ill get the bonus of missiles,1,1,853,6,6,156,TRUE,1
get the bonus,1,1,44,9,9,1169,TRUE,1
dollar sign for a bonus and were gonna get hit by a mine first either not,1,1,44,9,19,365,TRUE,1
ugh got the bonus,1,1,739,8,8,82,TRUE,1
lets take the bonus shots,1,1,41,10,20,338,TRUE,1
okay bonus,1,1,34,4,14,844,TRUE,1
oh i missed oh yay i got the bonus at least,1,1,853,3,13,352,TRUE,1
thats the first bonus symbol,1,1,404,10,20,786,TRUE,1
bonus,1,1,1,9,9,353,TRUE,1
oh money sign bonus,1,1,34,2,2,76,TRUE,1
got a bonus,1,1,44,9,19,399,TRUE,1
oh i think i can get ai dont think i can get a bonus,1,1,15,7,7,1087,TRUE,1
p bonus,1,1,22,5,15,45,TRUE,1
p i dont know how to oh crap i cant get the bonus,1,1,155,7,7,264,TRUE,1
no i still have to get the bonus,1,1,11,3,3,105,TRUE,1
i just got a bonus awesome and i got shot not doing as well as i wanted,1,1,604,3,13,95,TRUE,1
were at 20 shots take the bonus points,1,1,41,9,19,313,TRUE,1
missed that bonus,1,1,6,9,19,295,TRUE,1
i saw the bonus and pushed the wrong button,1,1,1,5,15,587,TRUE,1
yes i got it second one bonus,1,1,34,7,7,341,TRUE,1
just got that bonus,1,1,338,8,18,312,TRUE,1
bonus,1,1,44,9,19,391,TRUE,1
164 points vulnerability counter 1 2 3 4 5 4 5 6 6 6 7 8 9 10 destroyed the fortress 27 shots left bonus went there,1,1,372,10,20,239,TRUE,1
ok bonus,1,1,53,10,10,491,TRUE,1
alright got a dollar sign no bonus,1,1,273,5,5,111,TRUE,1
so one thing i need to start considering is this bonus points thing because im not acknowledging that at all,1,1,825,7,7,205,TRUE,1
i know how to get the bonus missiles,1,1,52,3,13,117,TRUE,1
dollar sign click bonus,1,1,537,6,16,120,TRUE,1
try to think what i need to be doing i think i need to not worry about the bonus at all umm enemy mines for sure gotta get on that,1,1,404,7,7,243,TRUE,1
thats a bonus of 1 oh i hit that too quickly and it rest for once,1,1,825,3,13,357,TRUE,1
bonuses coming up,1,1,44,7,17,263,TRUE,1
okay bonus,1,1,976,1,1,15,TRUE,1
bonus points,1,1,14,5,5,668,TRUE,1
bonus,1,1,623,6,6,225,TRUE,1
money sign bonus,1,1,681,NA,NA,329,TRUE,1
alright got the bonus,1,1,273,9,19,367,TRUE,1
got another bonus,1,1,623,6,16,89,TRUE,1
bonus,1,1,44,8,18,315,TRUE,1
i feel like everytime i mess up the bonus it immeadiately shows up,1,1,12,4,14,128,TRUE,1
let me just guess that thats the bonus,1,1,7,4,14,130,TRUE,1
ugh bonus dollar sign see another one just need one more ugh,1,1,853,7,17,425,TRUE,1
bonus,1,1,52,8,18,317,TRUE,1
okay um so this two i got bonus points there i probably should have taken the shots it was my first bonus so i was kinda excited,1,1,41,4,14,144,TRUE,1
im gonna see if it comes up as another star bonus lets kill it,1,1,41,10,10,630,TRUE,1
i never really needed the missile bonus because honestly i havent even checked my missile inventory yet but i feel like i havent needed to,1,1,404,10,10,370,TRUE,1
hey dollar got the bonus i think i clicked points to be honest i just wanted to click it as fast as i can before i died,1,1,604,6,6,610,TRUE,1
bonus,1,1,55,3,3,646,TRUE,1
money sign bonus b friendly,1,1,681,7,17,130,TRUE,1
2 dollar signs bonus points i think that was an enemy mine but he was coming right at me,1,1,24,6,6,137,TRUE,1
bonus,1,1,910,4,4,107,TRUE,1
okay now ill try to get the bonus,1,1,29,8,18,234,TRUE,1
uh i pressed i clicked the wrong type of bonus so i couldnt get anything and i got 29 shots left,1,1,685,1,11,240,TRUE,1
ok first bonus had flashed 2nd one also i got the bonus,1,1,404,2,12,436,TRUE,1
first bonus sign gotta get back in the control zone,1,1,404,6,16,589,TRUE,1
oh its a bonus im running out of shots so i might have to switch to getting missiles since i only have 25,1,1,130,3,13,67,TRUE,1
one dollar two dollar bonus points,1,1,825,7,17,421,TRUE,1
umm im gonna look for the bonus again,1,1,404,3,3,108,TRUE,1
ill take the bonus points forget it,1,1,14,4,14,116,TRUE,1
thats bonus,1,1,6,2,12,176,TRUE,1
what thing i am not doing is looking at bonus and not identifying the mines and i should do that,1,1,155,3,13,52,TRUE,1
bonus,1,1,56,4,14,378,TRUE,1
dollar sign im really just focusing on not getting hit and getting bonus points which i feel like is a good strategy you dont want to get hit but you also want bonus points,1,1,348,10,20,109,TRUE,1
this little pound sign youre not a bonus sign dont know who youre kidding,1,1,790,2,2,238,TRUE,1
p theres one dollar sign two dollar signs so i got the bonus points again,1,1,45,6,16,182,TRUE,1
one bonus achieved still getting used to the controls since the ship does not slow down,1,1,804,3,3,259,TRUE,1
ah yeah got all the bonuses but negative 2000 so you know sounds normal,1,1,604,2,2,459,TRUE,1
there were just 2 dollar signs in a row so i received 100 point bonus but right after i was just killed by the fortress,1,1,848,6,6,328,TRUE,1
makes me feel better when i get another bonus,1,1,57,8,8,1297,TRUE,1
probably wouldnt have gotten killed if i saw the bonus,1,1,853,5,15,390,TRUE,1
bonus missiles,1,1,818,7,17,482,TRUE,1
r friendly bonus,1,1,681,9,19,164,TRUE,1
i guess i did not get the bonus,1,1,46,3,3,366,TRUE,1
bonus points,1,1,50,1,11,154,TRUE,1
bonus,1,1,46,6,6,441,TRUE,1
lets get the bonus,1,1,44,10,10,1260,TRUE,1
boom bonus points,1,1,34,4,4,186,TRUE,1
p okay i got my bonus points for the two dollar signs,1,1,45,1,11,130,TRUE,1
