statementClean,cRelevantAlex,cRelevantPatricia,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,cRelevantConsensus,Reason
okay alright were gonna go the optimal path now,1,0,818,3,3,43,FALSE,1,confusion
too fast,1,0,788,2,2,80,FALSE,1,ambiguous
yeah the way that the hexagon changes its like um its perfect,0,1,214,5,5,303,FALSE,0,confusion
too fast,1,0,40,3,3,69,FALSE,1,ambiguous
and i have it right within what i need,1,0,34,4,4,166,FALSE,0,confusion
for some reason the fortress seems to like its shots are easily predictable and it only shoots when youre at a certain velocity and distance from the fortress,0,1,848,5,5,278,FALSE,1,confusion
all right so try to move,1,0,12,1,1,350,FALSE,1,missstype
i see a foe mine mumbles moving again slowly,0,1,300,2,2,235,FALSE,0,confusion
one more turn,0,1,29,10,10,609,FALSE,0,ambiguous
im definitely not earning points for the control,1,0,468,6,6,127,FALSE,1,confusion
getting out of control,1,0,319,7,7,181,FALSE,1,missstype
p slow down bonus missiles,1,0,50,9,9,108,FALSE,1,ambiguous
left,1,0,51,10,10,429,FALSE,1,ambiguous
i try simultaneously pressing the forward and right button seeing if that helps the control,1,0,300,3,3,246,FALSE,1,missstype
slow down,1,0,739,9,9,89,FALSE,1,ambiguous
ah man okay so this thing in the hexagon,1,0,130,5,5,327,FALSE,1,confusion
no left,1,0,51,10,10,428,FALSE,1,ambiguous
gosh until you lose control,1,0,214,3,3,244,FALSE,1,missstype
okay perfect its missing me so im doing good right now,1,0,34,10,10,478,FALSE,1,confusion
no not fast enough,1,0,400,5,5,99,FALSE,1,ambiguous
and yeah im so focused on controlling myself that i cant but its coming easier soon ill be able to get this fortress,1,0,214,6,6,319,FALSE,1,missstype
p oh ok its moving very fast,1,0,211,1,1,3,FALSE,1,ambiguous
mumbles have to turn it into a ooh dollar sigh,0,1,52,6,6,707,FALSE,0,confusion
gotta be fast,1,0,647,7,7,206,FALSE,1,ambiguous
key is doing it slow and steady i too quick avoid avoid okay,1,0,41,5,5,453,FALSE,1,missstype
too fast,1,0,127,6,6,216,FALSE,1,ambiguous
slow slow down,1,0,404,4,4,145,FALSE,1,ambiguous
umm but so i guess the what you were saying was like youre trying to accelerate in the,1,0,468,2,2,22,FALSE,1,missstype
no zoom velocity,0,1,57,4,4,1039,FALSE,1,missstype
p oer try slowing down a bit,1,0,29,4,4,403,FALSE,1,ambiguous
the optimal flight pattern that i had initially thought of is not the one im taking,1,0,12,2,2,411,FALSE,1,missstype
oh that was a fast one,0,0,20,7,7,683,TRUE,0,
go right go straight,1,1,20,6,6,603,TRUE,1,
no dont lose control yet,1,1,685,4,4,85,TRUE,1,
alright imma just work like this,0,0,16,3,3,233,TRUE,0,
wow okay thats i think i have one more hit left,0,0,34,6,6,285,TRUE,0,
slow down,1,1,28,2,2,105,TRUE,1,
once i learn how to turn i swear ill get the game right,1,1,16,4,4,275,TRUE,1,
p oh alright,0,0,404,1,1,18,TRUE,0,
slow down,1,1,131,1,1,29,TRUE,1,
alright,0,0,28,7,7,284,TRUE,0,
alright now im at vulnerability 4 mumbling,0,0,404,6,6,218,TRUE,0,
