statementClean,cRelevant,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber
spaceship doesnt stop at all which doesnt help at all,0,804,1,1,243
all right,0,55,10,10,1015
yeah its just really hard with the arrows keys to keep your ship in control while its moving around frictionless,0,681,1,1,202
also they should update their papers to show those blue squares as actually moving cuz i thought they would be damn uninterpretable i thought theyd be stationary on the side,0,41,7,7,547
hopefully ill destroy it 6 times im moving much slower than last time,0,825,10,10,288
turn around,0,57,1,1,755
run forward,0,30,8,8,443
p alright the foe mines are q v and w,0,848,10,10,391
not even using the mouse right now,0,404,2,2,69
oh this is really alright,0,568,1,1,6
need to control the ship,0,28,5,5,231
o thats a friendly alright,0,404,10,10,381
moving forward,0,57,4,4,1031
alright,0,685,1,1,6
20 but dont fly out of the screen,0,569,9,9,243
too fast aww i got to pay attention to that,0,211,6,6,81
stop turning stop turning,0,155,7,7,269
alright,0,29,4,4,443
alright were at 8 right now 9,0,14,10,10,853
speed 100 velocity 250,0,34,6,6,319
turn around,0,55,3,3,643
alright 4 probably gonna screen wrap 100 times here,0,404,7,7,260
once you lose control of the ship its really hard to get it back so its important to not mess up in the beginning,0,400,5,5,126
umm oh so you just bounce off the middle very interesting i wonder if that can be used strategically to stop yourself,0,468,7,7,148
kidding go to the right,0,300,3,3,286
i get points deducted every time i go into hyperspace but it might be a move,0,53,8,8,365
turn thrust turn thrust turn thrust,0,53,10,10,481
also kind of hard to keep my ships velocity right,0,681,1,1,200
all right,0,57,10,10,1488
yep fly right into it,0,30,6,6,318
p alright,0,16,2,2,90
stop hitting the center,0,51,9,9,369
the control is real touchy i gotta get used to it,0,681,1,1,189
this thing is moving fast,0,818,1,1,9
ill make a little forward a little,0,57,7,7,1266
oh thats an enemy turn around,0,55,10,10,1009
got it oh man this is the second part of the hyperspace yep got it,0,818,4,4,77
dollar signs popped up one time enemy mine going out of control,0,319,4,4,106
alright so the first dollar sign,0,130,6,6,334
ok hes at 10 now ah man alright if i could just not mess this up i can actually manage to,0,404,5,5,189
alright there we go,0,51,4,4,93
i cannot slow down enough to there we go rotating,0,569,3,3,180
slow down,0,51,4,4,92
i thought i was getting good at flying,0,20,3,3,497
this one we will continue the technique and try to stay in the smaller or larger hexagon to receive points for control,0,848,7,7,336
umm the whole counterclockwise trying to move in the control zone is really iffy for me,0,404,8,8,319
dude im not even trying to go for bonus points right now,0,49,9,9,473
so this is right this is left this is straight,0,20,7,7,649
turn ok,0,210,7,7,114
slow down,0,28,6,6,259
stop spinning whats up with the spinning,0,210,4,4,41
alright well im taking a bunch of hits im going to explode in 1 more hit,0,825,6,6,182
keep it slow,0,300,8,8,378
thats better than negative right,0,804,9,9,384
i tried to stay in the hexagon that time,0,468,4,4,50
if i do the right math wait points matter two,0,825,10,10,302
another mine on the screen but that one just ran into me without any problems so that was friendly,0,848,2,2,253
this is extremely difficult i go very very fast,0,34,1,1,25
and if you hold it down one direction like left or right the ship just spirals out of control,0,977,1,1,81
i dont feel like im in control,0,210,2,2,24
p yeah im just trying to concentrate on here because like i said its very difficult doing this lefthanded,0,127,5,5,244
so when you see a foe mine youre supposed to press the right mouse button twice right,0,411,5,5,80
saw the dollar now i can time it right for the other dollar,0,569,8,8,234
p when i saw the lkc i tried to remember it as okc like the oklahoma city thunder so hopefully that will help a little bit remembering those but control is still extremely bad,0,558,5,5,31
left,0,51,10,10,429
and rotation,0,30,8,8,447
alright o that is an enemy so i have to wait,0,20,9,9,765
p im trying not to collide with the center so i dont warp out of the screen,0,217,4,4,71
slow down,0,56,7,7,100
too slowly there,0,404,7,7,250
slow down first,0,300,5,5,317
my velocity,0,57,6,6,1189
oh that was too fast,0,568,2,2,41
stick and move stick and move,0,16,3,3,213
okay im going too fast,0,300,7,7,354
rotate rotate,0,30,6,6,293
actually its really not easier to maneuver,0,57,1,1,744
everything is coming from control which is weird cause i dont feel in control,0,12,7,7,607
im too strong with the thrust,0,16,9,9,693
alright where the next motherfworder at,0,16,7,7,580
mumbles turn,0,56,5,5,55
turn turn then go straight,0,28,2,2,75
alright come on,0,16,5,5,384
this stick is really alright,0,568,1,1,23
ah the ship doesnt move fast enough,0,404,4,4,140
straight left i didnt even look ok,0,20,7,7,674
too fast,0,41,10,10,639
alright,0,16,2,2,172
hey go forward,0,28,1,1,14
alright,0,404,5,5,196
alright come on,0,16,4,4,285
p and then i press the space bar afterwards,0,27,1,1,3
i am trying to slow down,0,53,9,9,427
alright first dollar sign,0,647,8,8,229
um i stay outside the control zone,0,404,4,4,169
just stay slow,0,28,4,4,168
my turning will never start off strong,0,16,7,7,514
back inside the hexagon,0,300,7,7,360
out of control,0,319,5,5,126
alright,0,16,3,3,229
p oh right,0,3,1,1,8
so you always wanna be moving,0,468,9,9,205
its kinda slow,0,46,5,5,425
p alright,0,20,1,1,384
told you too fast and you didnt want to listen,0,155,4,4,227
out of control,0,319,5,5,136
slow slow,0,51,3,3,81
the mines mumbling cause i couldnt get the ship controlled to save my life,0,804,7,7,327
turn and face it,0,57,10,10,1493
alright,0,28,8,8,347
no come on forward,0,55,10,10,1030
usg oh right click  right click right click,0,52,4,4,579
okay i see how i gotta move,0,16,2,2,131
alright not too shabby,0,28,4,4,185
try to stay in the hexagon,0,28,3,3,131
how fast they want it,0,16,9,9,743
kay slow down,0,51,10,10,434
alright i just got bullets because i dont want to have to worry about that so im at 100 now get out of the way zach come on,0,685,5,5,102
i press the keys too fast,0,12,5,5,505
i only have 22 shots left,0,33,3,3,548
slow,0,300,9,9,395
slash um im flying really slow in a straight line,0,3,8,8,163
forward forward forward,0,57,3,3,886
thought i got it but i was too slow,0,46,10,10,611
okay i am out of control,0,113,9,9,504
okay forward,0,55,9,9,968
