statementClean,cRelevant,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber
um just getting a lot more control of my ship,0,404,4,4,143
p alright,0,155,10,10,297
okay were at 3 right now which is nice,0,34,4,4,199
the controls are really the hardest part im having a hard part controlling the ship at all much less worrying about the mines,0,404,1,1,27
i like this speed right here,0,647,2,2,156
flying myself down,0,300,2,2,260
but there are good people playing you join in as a beginnger and theres no space for you and you get discouraged cause these guys are kicking your butt,0,214,3,3,312
alright,0,28,1,1,19
okay move there we go,0,910,2,2,40
still gotta get the interval timing right to identify the mines,0,681,5,5,275
okay alright,0,113,8,8,486
alright slow down x6 babe,0,454,2,2,156
control,0,454,5,5,193
okay slow down,0,51,8,8,334
whoa whoa whoa bro bro bro too fast slow down,0,155,4,4,226
p at the moment it feels like my thoughts are like just how to get around how do i turn like how do i keep straight how do i um do this or do that like,0,825,1,1,23
alright come on lets go,0,568,2,2,40
alright,0,16,5,5,360
slow down,0,51,3,3,74
alright go right go that way go backwards,0,20,5,5,580
slowing down is extremely  difficult so its better to go at an optimal speed constantly or just very slow constatntly,0,12,2,2,398
mumbles backward,0,57,4,4,1032
the iff button is the right button but i clicked the left button,0,468,6,6,114
turn go forward go forward there you go forward turn,0,210,5,5,55
its slowish i guess 4 5 friendly that i cant hit is that one or two dollar signs,0,14,6,6,706
i always look forward never look back,0,155,3,3,216
okay were back inside the hexagon,0,34,7,7,355
we just fly through this,0,57,6,6,1176
alright 1 now im going the other way,0,825,8,8,249
all right,0,57,10,10,1454
stop hitting the thing,0,24,6,6,129
slow down,0,51,8,8,303
so bjq there goes a dollar sign however im trying to stay in control oh god i took 2 bullets bjq its fine,0,130,7,7,338
come on stop choking,0,24,8,8,196
ok let me just get inside the control,0,404,9,9,359
alright here we go,0,28,6,6,248
trying to keep it on the screen,0,739,3,3,32
ah man going out of control here ok bonus if that pops up again im gonna hit it,0,404,10,10,377
p alright the foes are umh,0,372,2,2,21
15 shots left,0,26,10,10,172
dont go too fast,0,432,2,2,145
so i should stop missing,0,3,7,7,143
im not even staying in the circle,0,51,3,3,63
turn,0,28,3,3,141
alright this is im getting crazy with these controls,0,190,7,7,203
slow down,0,51,6,6,195
okay you know its easier to stay inside the octagon with this thing,0,41,1,1,374
ok now i got a little hang of it still kind of uncontrolled,0,210,2,2,22
alright what is this next one at,0,16,2,2,143
i pressed that too fast,0,12,4,4,487
trying to stay inside the hexagon but its really hard thats why my velocity is at 200,0,130,1,1,240
umm im doing a little bit better i think the control on this game is a lot better on this game than the other games and its the last game so i didnt expect it to be better,0,685,10,10,222
alright,0,404,5,5,177
oh i just realized that if its not a foe you cant even move the iff,0,57,10,10,1448
alright bet,0,16,5,5,429
im trying to concentrate more than anything right now,0,127,3,3,223
im surprised im negative 700 points right now,0,825,1,1,18
mumbles alright,0,568,1,1,16
just fly up fly up,0,30,9,9,495
oh lets get out of here and hyperspace,0,34,7,7,354
alright,0,16,5,5,359
once i have the ship flying on autopilot in my head i will get better at the game,0,681,1,1,213
no i didnt want to turn,0,33,9,9,846
turns out it was,0,41,1,1,379
we can sacrifice pointer control for velocity and points and see how that works,0,848,5,5,309
slow down,0,51,6,6,217
immeadiately moves and gets hit,0,12,3,3,452
let myself fly across,0,20,8,8,690
forward,0,57,3,3,916
z the interval im doing is too fast thats the first dollar sign zvg thats good,0,130,5,5,310
i am not what how do i there we go i slowed down and im dead,0,41,2,2,405
moving way too fast,0,3,9,9,178
i hate this e with a stick on it and how it goes in a circle it bothers me,0,113,10,10,527
p alright,0,685,1,1,20
got hit right off the bat,0,46,9,9,577
p im still attempting to fly in a counterclockwise direction but its a lot harder than i anticipated it but i feel like im getting the hang of it slowly,0,45,2,2,15
