Participant_ID,Sex,Gamer,Complete_Game_Files,Complete_Transcript,Joystick_First,statement,interfaceMarkers,gameMarkers,lineNumber,fileName,interface,gameNumber,lowerStatement,statementClean,phrase,cumulativeGameNumber,fortressRelevant
2,2,0,1,1,1,"P: Thereís definitely a lot going on in this game, to deal with the mines and the fortress and the bonuses.",FALSE,FALSE,13,p002_PreCode_2019.txt,joystick,2,"p: thereís definitely a lot going on in this game, to deal with the mines and the fortress and the bonuses.",p theres definitely a lot going on in this game to deal with the mines and the fortress and the bonuses,TRUE,2,1
2,2,0,1,1,1,P: I keep forgetting that it doesnít even matter shooting the fortress when the mines are there because it does nothing.,FALSE,FALSE,52,p002_PreCode_2019.txt,keyboard,3,p: i keep forgetting that it doesnít even matter shooting the fortress when the mines are there because it does nothing.,p i keep forgetting that it doesnt even matter shooting the fortress when the mines are there because it does nothing,TRUE,13,1
2,2,0,1,1,1,P: Now I just really wanna try and destroy the fortress before I leave.,FALSE,FALSE,58,p002_PreCode_2019.txt,keyboard,4,p: now i just really wanna try and destroy the fortress before i leave.,p now i just really wanna try and destroy the fortress before i leave,TRUE,14,1
2,2,0,1,1,1,"P: I feel like if someone gets really good at this game they have to really focus on something, like theyíre either gonna take out the mines or destroy the fortress, but right now Iím just trying to destroy the fortress more than once.",FALSE,FALSE,79,p002_PreCode_2019.txt,keyboard,9,"p: i feel like if someone gets really good at this game they have to really focus on something, like theyíre either gonna take out the mines or destroy the fortress, but right now iím just trying to destroy the fortress more than once.",p i feel like if someone gets really good at this game they have to really focus on something like theyre either gonna take out the mines or destroy the fortress but right now im just trying to destroy the fortress more than once,TRUE,19,1
3,1,1,1,1,1,"Okay, uh, Iíll try shooting the fortress.",FALSE,FALSE,58,p003_PreCode_2019.txt,joystick,3,"okay, uh, iíll try shooting the fortress.",okay uh ill try shooting the fortress,TRUE,3,1
3,1,1,1,1,1,Iíll just try shooting the fortress as muchÖ before the mines come.,FALSE,FALSE,63,p003_PreCode_2019.txt,joystick,4,iíll just try shooting the fortress as muchÖ before the mines come.,ill just try shooting the fortress as much before the mines come,TRUE,4,1
3,1,1,1,1,1,Shot the fortress once.,FALSE,FALSE,73,p003_PreCode_2019.txt,joystick,4,shot the fortress once.,shot the fortress once,TRUE,4,1
3,1,1,1,1,1,Iím gonna try shooting the fortress as many times as possible before the mines comes.,FALSE,FALSE,78,p003_PreCode_2019.txt,joystick,5,iím gonna try shooting the fortress as many times as possible before the mines comes.,im gonna try shooting the fortress as many times as possible before the mines comes,TRUE,5,1
3,1,1,1,1,1,I died before I could shoot the fortress again.,FALSE,FALSE,133,p003_PreCode_2019.txt,joystick,7,i died before i could shoot the fortress again.,i died before i could shoot the fortress again,TRUE,7,1
3,1,1,1,1,1,I ran into the fortress and died.,FALSE,FALSE,154,p003_PreCode_2019.txt,joystick,8,i ran into the fortress and died.,i ran into the fortress and died,TRUE,8,1
3,1,1,1,1,1,Iím trying to clear the fortress.,FALSE,FALSE,157,p003_PreCode_2019.txt,joystick,8,iím trying to clear the fortress.,im trying to clear the fortress,TRUE,8,1
3,1,1,1,1,1,Trying to double shot the fortress but itís really hard.,FALSE,FALSE,158,p003_PreCode_2019.txt,joystick,8,trying to double shot the fortress but itís really hard.,trying to double shot the fortress but its really hard,TRUE,8,1
3,1,1,1,1,1,Gonna try to shoot the fortress as many times before another mine comes up.,FALSE,FALSE,180,p003_PreCode_2019.txt,joystick,9,gonna try to shoot the fortress as many times before another mine comes up.,gonna try to shoot the fortress as many times before another mine comes up,TRUE,9,1
3,1,1,1,1,1,Killed the fortress twice.,FALSE,FALSE,185,p003_PreCode_2019.txt,joystick,9,killed the fortress twice.,killed the fortress twice,TRUE,9,1
3,1,1,1,1,1,I got really close to the fortress.,FALSE,FALSE,192,p003_PreCode_2019.txt,joystick,9,i got really close to the fortress.,i got really close to the fortress,TRUE,9,1
3,1,1,1,1,1,Ran into the fortress and bounced the other way.,FALSE,FALSE,201,p003_PreCode_2019.txt,joystick,10,ran into the fortress and bounced the other way.,ran into the fortress and bounced the other way,TRUE,10,1
3,1,1,1,1,1,I have six on theÖ fortress.,FALSE,FALSE,217,p003_PreCode_2019.txt,joystick,10,i have six on theÖ fortress.,i have six on the fortress,TRUE,10,1
3,1,1,1,1,1,Have 10 so Iím going to try to kill the fortress.,FALSE,FALSE,225,p003_PreCode_2019.txt,joystick,10,have 10 so iím going to try to kill the fortress.,have 10 so im going to try to kill the fortress,TRUE,10,1
3,1,1,1,1,1,Shot the fortress.,FALSE,FALSE,230,p003_PreCode_2019.txt,joystick,10,shot the fortress.,shot the fortress,TRUE,10,1
3,1,1,1,1,1,[inaudible] was damaged five times by fortress [inaudible].,FALSE,FALSE,232,p003_PreCode_2019.txt,joystick,10,[inaudible] was damaged five times by fortress [inaudible].,inaudible was damaged five times by fortress inaudible,TRUE,10,1
3,1,1,1,1,1,Shot the fortress so everything reset.,FALSE,FALSE,259,p003_PreCode_2019.txt,keyboard,1,shot the fortress so everything reset.,shot the fortress so everything reset,TRUE,11,1
3,1,1,1,1,1,Try and shoot the fortress a lot before another mine shows up.,FALSE,FALSE,267,p003_PreCode_2019.txt,keyboard,1,try and shoot the fortress a lot before another mine shows up.,try and shoot the fortress a lot before another mine shows up,TRUE,11,1
3,1,1,1,1,1,Killed the fortress.,FALSE,FALSE,278,p003_PreCode_2019.txt,keyboard,2,killed the fortress.,killed the fortress,TRUE,12,1
3,1,1,1,1,1,I walked into the fortress.,FALSE,FALSE,283,p003_PreCode_2019.txt,keyboard,2,i walked into the fortress.,i walked into the fortress,TRUE,12,1
3,1,1,1,1,1,Shot the fortress and I reset.,FALSE,FALSE,290,p003_PreCode_2019.txt,keyboard,2,shot the fortress and i reset.,shot the fortress and i reset,TRUE,12,1
3,1,1,1,1,1,Shot the fortress.,FALSE,FALSE,296,p003_PreCode_2019.txt,keyboard,2,shot the fortress.,shot the fortress,TRUE,12,1
3,1,1,1,1,1,I messed up the fortress.,FALSE,FALSE,318,p003_PreCode_2019.txt,keyboard,3,i messed up the fortress.,i messed up the fortress,TRUE,13,1
3,1,1,1,1,1,Shoot the fortressógood.,FALSE,FALSE,342,p003_PreCode_2019.txt,keyboard,4,shoot the fortressógood.,shoot the fortressgood,TRUE,14,1
3,1,1,1,1,1,I walked right into the fortress.,FALSE,FALSE,347,p003_PreCode_2019.txt,keyboard,4,i walked right into the fortress.,i walked right into the fortress,TRUE,14,1
3,1,1,1,1,1,Destroyed the fortress once.,FALSE,FALSE,355,p003_PreCode_2019.txt,keyboard,4,destroyed the fortress once.,destroyed the fortress once,TRUE,14,1
3,1,1,1,1,1,Missed all the fortress shots.,FALSE,FALSE,358,p003_PreCode_2019.txt,keyboard,4,missed all the fortress shots.,missed all the fortress shots,TRUE,14,1
3,1,1,1,1,1,Shoot the fortress nowódestroyed it.,FALSE,FALSE,361,p003_PreCode_2019.txt,keyboard,4,shoot the fortress nowódestroyed it.,shoot the fortress nowdestroyed it,TRUE,14,1
3,1,1,1,1,1,I died before I could shoot the fortress again.,FALSE,FALSE,364,p003_PreCode_2019.txt,keyboard,4,i died before i could shoot the fortress again.,i died before i could shoot the fortress again,TRUE,14,1
3,1,1,1,1,1,"Vulnerability nine, tenÖ shoot the fortress, and I did.",FALSE,FALSE,374,p003_PreCode_2019.txt,keyboard,5,"vulnerability nine, tenÖ shoot the fortress, and i did.",vulnerability nine ten shoot the fortress and i did,TRUE,15,1
3,1,1,1,1,1,Destroyed the fortress.,FALSE,FALSE,381,p003_PreCode_2019.txt,keyboard,5,destroyed the fortress.,destroyed the fortress,TRUE,15,1
3,1,1,1,1,1,I can destroy the fortress now but a mine showed up.,FALSE,FALSE,386,p003_PreCode_2019.txt,keyboard,5,i can destroy the fortress now but a mine showed up.,i can destroy the fortress now but a mine showed up,TRUE,15,1
3,1,1,1,1,1,"The fortress killed me before I could kill it, which wasnít fun.",FALSE,FALSE,391,p003_PreCode_2019.txt,keyboard,5,"the fortress killed me before i could kill it, which wasnít fun.",the fortress killed me before i could kill it which wasnt fun,TRUE,15,1
3,1,1,1,1,1,Killed fortress.,FALSE,FALSE,396,p003_PreCode_2019.txt,keyboard,5,killed fortress.,killed fortress,TRUE,15,1
3,1,1,1,1,1,I did get hit by the fortress so I lost the mine.,FALSE,FALSE,406,p003_PreCode_2019.txt,keyboard,6,i did get hit by the fortress so i lost the mine.,i did get hit by the fortress so i lost the mine,TRUE,16,1
3,1,1,1,1,1,Shot the fortress.,FALSE,FALSE,426,p003_PreCode_2019.txt,keyboard,6,shot the fortress.,shot the fortress,TRUE,16,1
3,1,1,1,1,1,Ran into the fortress.,FALSE,FALSE,427,p003_PreCode_2019.txt,keyboard,6,ran into the fortress.,ran into the fortress,TRUE,16,1
3,1,1,1,1,1,I have theóshoot the fortress.,FALSE,FALSE,441,p003_PreCode_2019.txt,keyboard,7,i have theóshoot the fortress.,i have theshoot the fortress,TRUE,17,1
3,1,1,1,1,1,"Vulnerability is at nine, tenÖ Friendly mine showed up, destroyed the fortress.",FALSE,FALSE,454,p003_PreCode_2019.txt,keyboard,7,"vulnerability is at nine, tenÖ friendly mine showed up, destroyed the fortress.",vulnerability is at nine ten friendly mine showed up destroyed the fortress,TRUE,17,1
3,1,1,1,1,1,Flying too close to the fortress.,FALSE,FALSE,468,p003_PreCode_2019.txt,keyboard,8,flying too close to the fortress.,flying too close to the fortress,TRUE,18,1
3,1,1,1,1,1,UhÖ destroyed the fortress but I forgot to collect.,FALSE,FALSE,471,p003_PreCode_2019.txt,keyboard,8,uhÖ destroyed the fortress but i forgot to collect.,uh destroyed the fortress but i forgot to collect,TRUE,18,1
3,1,1,1,1,1,Killed the fortress.,FALSE,FALSE,481,p003_PreCode_2019.txt,keyboard,8,killed the fortress.,killed the fortress,TRUE,18,1
3,1,1,1,1,1,Destroyed the fortress quickly.,FALSE,FALSE,484,p003_PreCode_2019.txt,keyboard,8,destroyed the fortress quickly.,destroyed the fortress quickly,TRUE,18,1
3,1,1,1,1,1,"Iíll start immediately moving, because the fortress immediately shoots.",FALSE,FALSE,497,p003_PreCode_2019.txt,keyboard,9,"iíll start immediately moving, because the fortress immediately shoots.",ill start immediately moving because the fortress immediately shoots,TRUE,19,1
3,1,1,1,1,1,Ran into the fortress.,FALSE,FALSE,512,p003_PreCode_2019.txt,keyboard,9,ran into the fortress.,ran into the fortress,TRUE,19,1
3,1,1,1,1,1,"Can shoot after this missileóran into the missile, but I shot the fortress.",FALSE,FALSE,514,p003_PreCode_2019.txt,keyboard,9,"can shoot after this missileóran into the missile, but i shot the fortress.",can shoot after this missileran into the missile but i shot the fortress,TRUE,19,1
3,1,1,1,1,1,"Shoot the fortress with a double shot, did it.",FALSE,FALSE,527,p003_PreCode_2019.txt,keyboard,10,"shoot the fortress with a double shot, did it.",shoot the fortress with a double shot did it,TRUE,20,1
3,1,1,1,1,1,"Try to kill the fortress before another mine shows up, but itís not looking too well.",FALSE,FALSE,537,p003_PreCode_2019.txt,keyboard,10,"try to kill the fortress before another mine shows up, but itís not looking too well.",try to kill the fortress before another mine shows up but its not looking too well,TRUE,20,1
3,1,1,1,1,1,One more fortress killÖ killed it.,FALSE,FALSE,545,p003_PreCode_2019.txt,keyboard,10,one more fortress killÖ killed it.,one more fortress kill killed it,TRUE,20,1
4,2,1,1,1,0,P= Well I still haven‚Äôt been able to shoot the fortress.,FALSE,FALSE,305,p004_PreCode_2019.txt,keyboard,3,p= well i still haven‚Äôt been able to shoot the fortress.,p well i still havent been able to shoot the fortress,TRUE,3,1
6,2,1,1,1,1,they only start off by getting shot by the fortress.,FALSE,FALSE,32,p006_PreCode_2019.txt,joystick,3,they only start off by getting shot by the fortress.,they only start off by getting shot by the fortress,TRUE,3,1
6,2,1,1,1,1,So each shot from the fortress that docks like 50 points.,FALSE,FALSE,40,p006_PreCode_2019.txt,joystick,3,so each shot from the fortress that docks like 50 points.,so each shot from the fortress that docks like 50 points,TRUE,3,1
6,2,1,1,1,1,[uninterpretable] stay fast enough to not get hit by the space fortress.,FALSE,FALSE,126,p006_PreCode_2019.txt,joystick,8,[uninterpretable] stay fast enough to not get hit by the space fortress.,uninterpretable stay fast enough to not get hit by the space fortress,TRUE,8,1
6,2,1,1,1,1,Probably got at the space fortress right in there.,FALSE,FALSE,177,p006_PreCode_2019.txt,keyboard,2,probably got at the space fortress right in there.,probably got at the space fortress right in there,TRUE,12,1
7,2,99,1,1,0,"P: Okay. I completely forgot that Iím supposed to hit the fortress, so.",FALSE,FALSE,331,p007_PreCode_2019.txt,keyboard,2,"p: okay. i completely forgot that iím supposed to hit the fortress, so.",p okay i completely forgot that im supposed to hit the fortress so,TRUE,2,1
8,1,1,1,0,1,The fortress is so accurate.,FALSE,FALSE,281,p008_PreCode_2019.txt,keyboard,9,the fortress is so accurate.,the fortress is so accurate,TRUE,19,1
9,2,1,1,0,0,Space Fortress and then I forgot whatever Iím playing for Dr. Boot.,FALSE,FALSE,309,p009_PreCode_2019.txt,joystick,7,space fortress and then i forgot whatever iím playing for dr. boot.,space fortress and then i forgot whatever im playing for dr boot,TRUE,17,1
9,2,1,1,0,0,This isnít fortress.,FALSE,FALSE,653,p009_PreCode_2019.txt,keyboard,4,this isnít fortress.,this isnt fortress,TRUE,4,1
9,2,1,1,0,0,No God odnít touch the fortress.,FALSE,FALSE,687,p009_PreCode_2019.txt,keyboard,5,no god odnít touch the fortress.,no god odnt touch the fortress,TRUE,5,1
11,2,0,1,1,1,I donít know how you can actually kill this fortress.,FALSE,FALSE,504,p011_PreCode_2019.txt,keyboard,2,i donít know how you can actually kill this fortress.,i dont know how you can actually kill this fortress,TRUE,12,1
12,1,1,1,1,0,"If you try to just move horizontally or vertically, you just got shot by the fortress.",FALSE,FALSE,98,p012_PreCode_2019.txt,joystick,3,"if you try to just move horizontally or vertically, you just got shot by the fortress.",if you try to just move horizontally or vertically you just got shot by the fortress,TRUE,13,1
12,1,1,1,1,0,I got hit by the fortress 13 times.,FALSE,FALSE,109,p012_PreCode_2019.txt,joystick,3,i got hit by the fortress 13 times.,i got hit by the fortress 13 times,TRUE,13,1
12,1,1,1,1,0,The fortress is shooting.,FALSE,FALSE,137,p012_PreCode_2019.txt,joystick,4,the fortress is shooting.,the fortress is shooting,TRUE,14,1
12,1,1,1,1,0,Fortress.,FALSE,FALSE,159,p012_PreCode_2019.txt,joystick,5,fortress.,fortress,FALSE,15,1
12,1,1,1,1,0,"If you keep moving, the fortresss wonít hit you.",FALSE,FALSE,187,p012_PreCode_2019.txt,joystick,6,"if you keep moving, the fortresss wonít hit you.",if you keep moving the fortresss wont hit you,TRUE,16,1
12,1,1,1,1,0,Got hit less by fortress but more by the mines.,FALSE,FALSE,308,p012_PreCode_2019.txt,joystick,9,got hit less by fortress but more by the mines.,got hit less by fortress but more by the mines,TRUE,19,1
12,1,1,1,1,0,"If youíre shooting in the right direction already, it seems better to just like let your ship float a little while untile the ship is facing the fortress instead of getting into a benficial posision.",FALSE,FALSE,322,p012_PreCode_2019.txt,joystick,10,"if youíre shooting in the right direction already, it seems better to just like let your ship float a little while untile the ship is facing the fortress instead of getting into a benficial posision.",if youre shooting in the right direction already it seems better to just like let your ship float a little while untile the ship is facing the fortress instead of getting into a benficial posision,TRUE,20,1
