statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
i just struck the fortress,1,1,42,5,5,198,TRUE,1
alright so for our last trial i will try and stay in the fortress as best as possible following the original game plan of spinning clockwise while trying to avoid the mines and shots,0,0,848,10,20,206,TRUE,0
its got 2 right away from the fortress,0,0,46,5,15,109,TRUE,0
i was destroyed by the fortress zero times,0,0,55,5,15,214,TRUE,0
oh right into the fortress,1,0,604,5,15,195,FALSE,0
i cant hit the fortress but i have one shot left come on,1,1,685,7,7,149,TRUE,1
oh no right into the fortress right into his bullet and again and i into the mine,1,0,604,6,16,263,FALSE,0
awww fortress just got me,0,0,55,2,2,587,TRUE,0
fortress deals enough damage as is,0,0,790,7,17,164,TRUE,0
fortress ready,0,0,46,9,9,586,TRUE,0
p i can assume id be more interested and involved if i tried to implement every strategy like friend or foe and the intervals but i feel i cant i need to try to get at least one shot off on the fortress,1,1,35,3,3,187,TRUE,1
there were just 2 dollar signs in a row so i was able to collect 100 points bonus which puts my points at 34 currently cause i was just shot and just destroyed by the fortress,0,0,848,10,20,207,TRUE,0
i walked right into the fortress,0,0,3,4,14,347,TRUE,0
its really hard to kill this fortress oh no i left it too early ill get the bonus next time,1,1,130,10,20,220,TRUE,1
shoot the fortress with a double shot did it,1,1,3,10,20,527,TRUE,1
i still should be hitting the fortress which i am not doing like im supposed to,1,1,623,1,1,153,TRUE,1
i have been hit twice by the fortress now,0,0,848,8,18,169,TRUE,0
oh dont die sweet that was an enemy cause i almost died or friend rather no no no straight into the fortress dollar took the points cause im at 1000 thats just embarrassing keep getting shot,0,0,604,9,19,362,TRUE,0
how do i avoid the fortress,0,0,902,2,2,42,TRUE,0
gotta destroy the fortress,1,1,44,5,5,786,TRUE,1
2 3 4 bonus points 5 6 7 8 9 10 oh yea i forgot about that part where when a missiles on the field you can kill the fortress its invincible,1,1,825,10,10,294,TRUE,1
space fortress and then i forgot whatever im playing for dr boot,0,0,9,7,17,309,TRUE,0
no god odnt touch the fortress,0,0,9,5,5,687,TRUE,0
i destroyed the fortress so im progressively doing better in this game,1,1,586,2,12,196,TRUE,1
p dont think ive taken out the fortress this round not from a lack of trying,0,1,35,10,20,157,FALSE,1
there are different ones for the foe mines and the fortress itself,0,0,432,6,16,57,TRUE,0
might be able to get the fortress here,1,1,46,6,6,447,TRUE,1
p basically my goal now is shooting the fortress without being shot ive almost completely forgotten about the mines just exclusively me and the freaking fortress,1,1,35,9,19,144,TRUE,1
and it seems to be just the right speed for the bullets to not be able to hit me unless directly facing the fortress,0,0,848,5,5,310,TRUE,0
so the right speed is to keep going around in circles and not be shot at by the fortress but we still have mines we have to deal with which are q v and w for this game,0,0,848,10,10,394,TRUE,0
just killed the fortress,1,1,372,1,11,136,TRUE,1
theres an enemy see i clicked the thingy twice now the hard part is shoot the moving object as if the fortress wasnt hard enough,1,1,604,3,3,492,TRUE,1
shot the fortress and i reset,1,1,3,2,12,290,TRUE,1
it seems that if i just flick it the smallest amount it goes the velocity the game requires and that the fortress is unable to hit me and i am still able to turn and make shots okay,0,1,848,2,2,243,FALSE,1
going forward rotating towards the fortress firing ok firing and then toward or again,1,1,300,1,11,9,TRUE,1
cant shoot at the fortress with the mines,0,1,44,5,5,804,FALSE,1
fortress ready,0,0,46,10,10,603,TRUE,0
thanks freaking fortress,0,0,113,10,20,288,TRUE,0
p seems kind of unfair that the fortress shoots you twice when it starts or at least once,0,0,513,3,13,34,TRUE,0
shoot at it shoot at it shoot at it then get the fortress before it gets me,1,1,52,7,7,741,TRUE,1
9 10 destroyed the fortress again,1,1,685,4,14,308,TRUE,1
