FileName,CWrotations,CCWrotations,Thrusts,WorldWraps,FortressCollisions,fortressDestructions,shipDeaths,Total,Points,Velocity,Control,Speed,Bpnt,Bmis,WorldWrapper,delWorldWrapper,discrete_thrusts,discrete_CWrotations,discrete_CCWrotations,Constant_Accelerations,cumulativeDistanceX,varianceX
001/p001-joy-1.gam,1348,459,1142,49,12,0,5,-3569,-1376,-882,-931,-380,0,0,0,0,75,108,58,1,439752.764419081,14900.1446521735
001/p001-joy-10.gam,1378,588,3418,18,26,0,2,-816,-92,-1092,188,180,4,0,0,0,24,127,54,3,437392.00857747,7125.89629231304
001/p001-joy-2.gam,1572,544,2090,40,16,0,3,-2246,-672,-854,-660,-60,1,0,0,0,82,129,77,6,503789.911221636,13243.6496462645
001/p001-joy-3.gam,1565,697,2612,26,26,0,4,-1880,-860,-854,-136,-30,2,0,0,0,64,131,69,1,406265.726704064,9634.17443082851
001/p001-joy-4.gam,1021,732,1571,25,14,0,4,-1503,-838,-784,-61,180,2,0,2,0,103,124,84,2,410679.9847929,11025.9311343076
001/p001-joy-5.gam,1375,561,2473,21,27,0,3,-1728,-882,-1036,50,140,2,0,0,0,82,128,65,3,414885.192062332,9913.93060600606
001/p001-joy-6.gam,1360,687,3129,26,33,0,5,-2215,-1266,-966,-123,140,1,0,0,0,35,134,78,0,409137.891586614,9706.7165416809
001/p001-joy-7.gam,1307,448,2635,32,24,0,2,-1688,-206,-1092,-340,-50,3,0,0,0,74,144,58,2,422032.049336713,10769.7215199913
001/p001-joy-8.gam,1293,417,3118,25,27,0,4,-2188,-1048,-1106,-74,40,0,0,0,0,41,142,49,2,442569.982481269,9882.3895250499
001/p001-joy-9.gam,1565,475,3234,11,27,1,2,-468,-208,-952,492,200,1,0,0,0,37,134,54,2,405918.587592463,7801.60289362772
001/p001-key-1.gam,767,210,895,26,7,0,6,-2623,-1800,-630,-93,-100,0,0,0,0,137,107,30,0,449921.684038131,14618.4362170322
001/p001-key-10.gam,811,272,852,8,8,1,4,-712,-748,-574,640,-30,3,0,0,0,245,121,47,0,427207.441681949,9495.38009957905
001/p001-key-2.gam,827,326,686,22,4,0,6,-2040,-1680,-252,62,-170,0,0,0,0,123,103,42,0,373613.924514739,11807.3990838348
001/p001-key-3.gam,717,354,885,18,6,0,6,-2140,-1668,-378,136,-230,0,0,0,0,213,104,55,0,453553.61784635,13783.0985295717
001/p001-key-4.gam,806,343,870,8,5,0,6,-1665,-1772,-406,683,-170,0,0,0,0,242,136,47,0,385403.426786671,9729.36581259899
001/p001-key-5.gam,854,252,1005,7,1,0,2,-976,-722,-602,598,-250,1,0,0,0,282,132,43,0,368653.831842511,10085.1598620035
001/p001-key-6.gam,865,263,911,7,5,0,3,-1200,-980,-518,578,-280,0,0,0,0,299,142,47,0,440061.980291082,10914.6390715177
001/p001-key-7.gam,767,297,838,2,9,0,4,-543,-922,-378,837,-80,0,0,0,0,297,141,60,0,426417.064352403,10045.0965959102
001/p001-key-8.gam,837,287,801,9,5,0,3,-308,-770,-294,556,200,0,0,0,0,266,122,66,0,468592.278445736,9886.07672171101
001/p001-key-9.gam,772,251,777,3,3,1,4,300,-576,-224,860,240,1,0,0,0,267,126,58,0,415884.114020507,9153.64632189234
002/p002-joy-1.gam,746,1078,825,59,6,0,4,-3375,-942,-812,-1331,-290,2,0,1,0,60,63,74,0,467183.539229104,18564.9660824491
002/p002-joy-10.gam,744,675,898,34,13,0,6,-2783,-1686,-476,-391,-230,1,0,1,1,80,92,92,0,379387.017353818,11387.0020808335
002/p002-joy-2.gam,683,909,216,49,3,0,6,-3370,-1530,-644,-946,-250,1,0,4,1,31,80,78,0,462164.64213661,17157.9852871459
002/p002-joy-3.gam,832,850,775,60,2,0,5,-3688,-1376,-546,-1326,-440,0,0,4,0,52,74,62,2,439930.494737627,17029.761377414
002/p002-joy-4.gam,508,724,615,52,6,0,4,-3120,-1006,-924,-1070,-120,1,0,1,1,57,68,75,0,430913.881770323,16057.4229313424
002/p002-joy-5.gam,558,518,461,46,8,0,9,-3886,-2250,-588,-798,-250,0,0,4,1,49,64,55,0,342023.106342363,12898.1438447827
002/p002-joy-6.gam,468,734,473,39,10,0,8,-3471,-2278,-266,-547,-380,0,0,2,2,57,68,65,0,399297.684309775,14673.0205951926
002/p002-joy-7.gam,554,664,528,45,4,0,7,-3535,-1818,-784,-803,-130,0,0,2,0,61,69,77,0,372773.603884023,15347.7288775108
002/p002-joy-8.gam,799,730,1008,35,6,0,7,-2667,-1758,-378,-411,-120,1,0,0,0,88,84,79,0,445575.251444106,13451.0684534014
002/p002-joy-9.gam,482,567,603,29,5,0,10,-2640,-2528,70,-92,-90,0,0,0,0,63,75,74,0,340414.089805381,10191.6231128104
002/p002-key-1.gam,599,308,815,19,5,0,5,-1736,-1190,-448,202,-300,1,0,0,0,157,104,57,0,454296.521447005,12080.4804687524
002/p002-key-10.gam,614,282,820,5,5,0,4,-434,-1076,-168,780,30,1,0,0,0,136,104,55,0,458811.502427442,8891.57656027919
002/p002-key-2.gam,515,389,681,19,7,0,8,-2264,-2278,-56,240,-170,2,0,0,0,127,69,81,0,394871.573597762,11044.6049073229
002/p002-key-3.gam,625,418,963,12,9,0,8,-2489,-2274,-434,459,-240,0,0,0,0,149,99,74,0,406673.883935636,10847.9190871898
002/p002-key-4.gam,398,490,810,13,4,0,4,-625,-928,-280,413,170,0,0,0,0,127,62,91,0,423988.996017092,11781.735438831
002/p002-key-5.gam,388,490,727,5,13,0,7,-914,-1690,-42,728,90,0,0,0,0,143,60,87,0,370042.54284532,8725.45921070567
002/p002-key-6.gam,525,308,468,13,2,0,5,-399,-1178,196,403,180,0,0,3,2,78,88,57,0,405656.817066161,12385.0587624853
002/p002-key-7.gam,592,347,721,8,3,1,7,-1043,-1486,-98,661,-120,0,0,1,1,113,97,59,0,418868.046568887,10025.1783735597
002/p002-key-8.gam,579,362,923,10,6,1,5,-788,-1222,-280,544,170,1,0,0,0,139,97,63,0,446887.982245076,10191.2083094314
002/p002-key-9.gam,535,413,895,23,11,1,5,-1268,-1298,0,40,-10,0,0,0,0,132,87,78,0,394123.429628177,10538.4861580855
003/p003-joy-1.gam,602,721,352,55,5,0,6,-4190,-1630,-910,-1170,-480,0,0,6,1,44,82,62,0,411594.475682635,15578.9277550934
003/p003-joy-10.gam,563,623,546,39,1,1,2,-1762,-506,-504,-642,-110,2,1,2,1,64,71,79,0,383424.726306329,13740.1084326508
003/p003-joy-2.gam,459,551,234,38,2,0,3,-1902,-996,-28,-628,-250,0,0,6,0,24,81,59,0,518405.954386556,15040.7546633659
003/p003-joy-3.gam,414,562,402,40,6,0,4,-3950,-2106,-896,-658,-290,0,0,5,1,39,68,61,0,516434.263331205,14720.7453547213
003/p003-joy-4.gam,505,693,827,59,7,0,4,-3642,-898,-952,-1312,-480,2,0,5,0,46,82,78,2,404885.151961481,15328.7454761108
003/p003-joy-5.gam,503,615,442,51,6,0,3,-2633,-700,-616,-1067,-250,3,0,5,1,42,79,65,0,282922.506703403,12848.0311548935
003/p003-joy-6.gam,492,594,455,54,1,0,3,-2711,-656,-714,-1191,-150,1,0,9,1,44,68,64,0,347460.108077767,15553.4628856583
003/p003-joy-7.gam,520,564,380,44,4,1,2,-2056,-778,-294,-864,-120,0,1,4,1,39,90,70,0,417197.669906817,16544.9691287959
003/p003-joy-8.gam,471,505,550,32,2,1,3,-1924,-1238,-266,-390,-30,1,0,1,0,61,72,63,0,477211.837106276,15667.4432724772
003/p003-joy-9.gam,638,631,477,43,1,2,1,-850,262,-378,-794,60,3,0,2,0,56,91,76,0,417284.788903106,16515.7175992923
