Participant_ID,Sex,Gamer,Complete_Game_Files,Complete_Transcript,Joystick_First,ownComputer,VGES8,VGES10,VGES16,VGES16_1_TEXT
1,1,99,1,1,1,No,3,"Driveclub
FIFA 17
Battlefield 4
Battlefield 1
Grand Theft Auto 5",Game Titles:,"Battlefield 1
Battlefield 4
FIFA 17"
2,2,0,1,1,1,Yes,3.5,"Super Mario Brothers, Call of Duty: World at War, Spyro, Sonic, Rock Band",I have NOT played any games seriously or competitively over a period of more than 6 months.,
3,1,1,1,1,1,Yes,30,"Dead Cells
League of Legends
Super Smash Bros. Melee
Persona 3
Persona 5",Game Titles:,Super Smash Bros. Melee
4,2,1,1,1,0,No,10,"Far Cry 4
Fallout 4
Skyrim Remastered 
Mass Effect Andromeda
Life is Strange
",Game Titles:,"Left 4 Dead and Left 4 Dead 2
Super Smash Bros Melee & Super Smash Bros Brawl"
6,2,1,1,1,1,Yes,20,"Destiny, Titanfall 2, The Walking Dead Season 1, Monaco, Battleblock Theater",I have NOT played any games seriously or competitively over a period of more than 6 months.,
7,2,99,1,1,0,Yes,5,"Dynasty Warriors 
League of Legends
Mario Party 
Super Smash Bros
Overwatch",I have NOT played any games seriously or competitively over a period of more than 6 months.,
8,1,1,1,0,1,Yes,70,"League of Legends
Overwatch
Hearthstone
Overcooked
Hyrule Warriors",Game Titles:,"League of Legends
Overwatch"
9,2,1,1,0,0,No,10,"League of Legends, Fire Emblem Fates, Monster Hunter Generations, Nier Automata, Shin Megami Tensei",I have NOT played any games seriously or competitively over a period of more than 6 months.,
11,2,0,1,1,1,No,0,n/a,I have NOT played any games seriously or competitively over a period of more than 6 months.,
12,1,1,1,1,0,Yes,75,"PLAYERUNKNOWN'S BATTLEGROUNDS, Overwatch, LISA, Insurgency, Northgard",Game Titles:,"Call of Duty: Black Ops, League of Legends, Guild Wars 2, Overwatch "
13,2,99,1,1,1,No,5,SSx tricky,I have NOT played any games seriously or competitively over a period of more than 6 months.,
14,1,1,1,1,0,No,100,"Gta V, Halo 5 Guardians, Battlefield 1, Terraria, NBA 2k17",I have NOT played any games seriously or competitively over a period of more than 6 months.,
15,2,0,1,1,0,No,0,N/A,I have NOT played any games seriously or competitively over a period of more than 6 months.,
16,1,1,1,1,1,Yes,20,"NBA 2K17, Madden 17, Call of Duty, Injustice 2, Need for Speed Underground 2, Crash Bandicoot",Game Titles:,"NBA 2K
Madden
Call of Duty"
17,2,0,1,1,1,Yes,4,"Castle Crashers
JackBox
BioShock 
BioShock Infinite
Over Watch 
",I have NOT played any games seriously or competitively over a period of more than 6 months.,
18,1,0,1,1,0,No,4,,I have NOT played any games seriously or competitively over a period of more than 6 months.,
19,2,0,1,1,0,No,1,"Wii dance, Wii dance 2, Wii tennis, wii bowling, wii boxing",I have NOT played any games seriously or competitively over a period of more than 6 months.,
20,1,0,1,0,0,No,1,"fifa,madden, star wars battle front, supersmash bros, wii sports",I have NOT played any games seriously or competitively over a period of more than 6 months.,
21,2,99,1,1,1,Yes,10,"Sims 4
Ravin Rabbids
Urbz: Sims in the City
Fable Anniversary
Mario Party 8",I have NOT played any games seriously or competitively over a period of more than 6 months.,
22,1,1,1,1,0,Yes,12,"Mount & Blade: Warband, NBA2k17. Life Is Strange, Mass Effect: Andromeda, Jackbox Party games",Game Titles:,"League of Legends, Star Wars Galaxy of Heroes"
23,2,99,1,1,0,Yes,8,"Grand Theft Auto 5
Call of Duty 3
Galaxy
Road Rage
Street Racing",Game Titles:,Call of Duty
24,1,1,1,1,0,Yes,20,"Payday 2, Dark Souls 3, Rocket League, Persona 5, civilization beyond earth",I have NOT played any games seriously or competitively over a period of more than 6 months.,
26,1,0,1,1,1,No,0,"Pokemon
Call of Duty
Need for Speed
Dragon Ball Z
Street Fighters ",Game Titles:,Pokemon 
27,1,1,1,0,1,Yes,13,"Diablo 3
Overwatch
Hearthstone
Civilization 6
DOTA 2",I have NOT played any games seriously or competitively over a period of more than 6 months.,"
"
28,1,0,1,0,1,No,0,"UFC, Grand Theft Auto, Call of Duty, Gears of War, NBA 2k16",I have NOT played any games seriously or competitively over a period of more than 6 months.,
29,1,0,1,1,0,Yes,2,"NBA 2k13
Mario Kart
COD: Black OPs 2
Candy Crush
Halo",I have NOT played any games seriously or competitively over a period of more than 6 months.,
30,1,1,1,0,1,No,16,"Battleborn, Borderlands 2, Super Smash bros, Call of Duty, Destiny 2",I have NOT played any games seriously or competitively over a period of more than 6 months.,
31,1,99,1,1,0,No,2,"Madden 25, NBA 2K11, Call of Duty MW 2, Marvel vs. Capcom, Viva Pinata",Game Titles:,Madden 25
32,1,99,1,1,0,Yes,3,overwatch battlefield 4 fifa nhl nba,I have NOT played any games seriously or competitively over a period of more than 6 months.,
33,1,1,1,0,0,No,10,"Battlefield 4, Assassin's Creed Syndicate, NBA 2k 17, Call of duty: Black Ops 3,Fifa 17",Game Titles:,"Fifa 17, NBA 2k 17, Battlefield 4, Call of Duty Black Ops 1 and 3, Fifa 16, "
34,1,1,1,0,1,Yes,15,"Player Unknown Battleground, Modern Warfare Remastered, Overwatch, Black Ops 3, and Halo Wars 1.",Game Titles:,Overwatch and Modern Warfare Remastered
35,1,99,1,1,0,Yes,8,"'-Overwatch
-Super Smash Bros
-NCAA Football 12
-Call of Duty: Black Ops
-Call of Duty: World at War ",I have NOT played any games seriously or competitively over a period of more than 6 months.,
36,1,99,1,0,1,Yes,0,"Counter Strike, Stardew Valley, Darkest Dungeon, sky rim, and GTA V",Game Titles:,"Counter Strike: Global Offence (CS:GO)
"
37,1,99,1,1,1,No,3,"FIFA 17, NBA 2k17, Call of Duty, MLB the show 17, Madden 17",Game Titles:,FIFA and Call of Duty
38,1,0,1,1,0,Yes,0,"Battlefield one, Madden 17, 2k16, Resident evil 2, madden 2008",I have NOT played any games seriously or competitively over a period of more than 6 months.,
39,1,1,1,1,1,Yes,16,"nba 2k, mass effect, titanfall 2, halo 5, dead space",I have NOT played any games seriously or competitively over a period of more than 6 months.,
40,1,1,1,1,0,Yes,60,"Super Smash Brothers 4
League of Legends
World Of Warcraft
Counter Strike: Global Offensive
Grand Theft Auto 5",Game Titles:,"League of Legends
World of Warcraft
Super Smash Brothers 4"
41,1,1,1,1,0,Yes,36,"NBA 2k17 
League of Legends
Destiny
Middle Earth: Shadow of Mordor
Super Mario Party 9",Game Titles:,"I have played League of Legends seriously, however not competitively "
42,1,99,1,1,1,No,4,"Call of Duty: WWII, Fallout 4, Madden 25, NBA 2K16, Battlefield 1",I have NOT played any games seriously or competitively over a period of more than 6 months.,
43,1,0,1,1,0,No,,"Runescape, Call of Duty Modern Warfare 2, Battlefield 4, This war of mine, Rainbow Six Siege",I have NOT played any games seriously or competitively over a period of more than 6 months.,
44,1,99,1,1,0,No,1,"Forza Motorsport 6 
Battlefield 1
Player Unknowns Battlegrounds
Star Wars Battlefront (version for next gen consoles)
Mario Kart 8 ",Game Titles:,Battlefield 1
45,1,0,1,1,1,No,0,"Black Ops, Modern Warfare 2, Assassin's Creed, Modern Warfare 3, World at War ",I have NOT played any games seriously or competitively over a period of more than 6 months.,
46,1,0,1,1,0,No,0,"Sudoku
?",I have NOT played any games seriously or competitively over a period of more than 6 months.,
47,1,0,1,1,1,No,0.5,"Grand Theft Auto, Call of Duty, ",I have NOT played any games seriously or competitively over a period of more than 6 months.,
