Participant_ID,Sex,Gamer,Complete_Game_Files,Complete_Transcript,Joystick_First,statement,interfaceMarkers,gameMarkers,lineNumber,fileName,interface,gameNumber,lowerStatement,statementClean,phrase,cumulativeGameNumber
3,1,1,1,1,1,Joystick Version,TRUE,FALSE,1,p003_PreCode_2019.txt,joystick,1,joystick version,joystick version,TRUE,1
3,1,1,1,1,1,#>1,FALSE,TRUE,2,p003_PreCode_2019.txt,joystick,1,#>1,1,FALSE,1
3,1,1,1,1,1,"P: Um, alright.",FALSE,FALSE,3,p003_PreCode_2019.txt,joystick,1,"p: um, alright.",p um alright,TRUE,1
3,1,1,1,1,1,How do I go?,FALSE,FALSE,4,p003_PreCode_2019.txt,joystick,1,how do i go?,how do i go,TRUE,1
3,1,1,1,1,1,"P: Oh, okay.",FALSE,FALSE,5,p003_PreCode_2019.txt,joystick,1,"p: oh, okay.",p oh okay,TRUE,1
3,1,1,1,1,1,You’ll probably have to hit spacebar again.,FALSE,FALSE,6,p003_PreCode_2019.txt,joystick,1,you’ll probably have to hit spacebar again.,youll probably have to hit spacebar again,TRUE,1
3,1,1,1,1,1,P: Foe mines are EDN.,FALSE,FALSE,7,p003_PreCode_2019.txt,joystick,1,p: foe mines are edn.,p foe mines are edn,TRUE,1
3,1,1,1,1,1,"P: Oh, right.",FALSE,FALSE,8,p003_PreCode_2019.txt,joystick,1,"p: oh, right.",p oh right,TRUE,1
3,1,1,1,1,1,It goes really fast.,FALSE,FALSE,9,p003_PreCode_2019.txt,joystick,1,it goes really fast.,it goes really fast,TRUE,1
3,1,1,1,1,1,Um…,FALSE,FALSE,10,p003_PreCode_2019.txt,joystick,1,um…,um,FALSE,1
3,1,1,1,1,1,"P: Oh, right, sorry.",FALSE,FALSE,11,p003_PreCode_2019.txt,joystick,1,"p: oh, right, sorry.",p oh right sorry,TRUE,1
3,1,1,1,1,1,"The letter is L, so… I’m not very good at controlling this.",FALSE,FALSE,12,p003_PreCode_2019.txt,joystick,1,"the letter is l, so… i’m not very good at controlling this.",the letter is l so im not very good at controlling this,TRUE,1
3,1,1,1,1,1,"Um, I’m gonna press this twice… [inaudible].",FALSE,FALSE,13,p003_PreCode_2019.txt,joystick,1,"um, i’m gonna press this twice… [inaudible].",um im gonna press this twice inaudible,TRUE,1
3,1,1,1,1,1,"The letter’s K, gonna try it again, I messed up, no, I got it.",FALSE,FALSE,14,p003_PreCode_2019.txt,joystick,1,"the letter’s k, gonna try it again, i messed up, no, i got it.",the letters k gonna try it again i messed up no i got it,TRUE,1
3,1,1,1,1,1,Gonna try and stand still.,FALSE,FALSE,15,p003_PreCode_2019.txt,joystick,1,gonna try and stand still.,gonna try and stand still,TRUE,1
3,1,1,1,1,1,"Letter’s D, and I see one.",FALSE,FALSE,16,p003_PreCode_2019.txt,joystick,1,"letter’s d, and i see one.",letters d and i see one,TRUE,1
3,1,1,1,1,1,Messed up.,FALSE,FALSE,17,p003_PreCode_2019.txt,joystick,1,messed up.,messed up,TRUE,1
3,1,1,1,1,1,I think it’s actually impossible to fly in the circle.,FALSE,FALSE,18,p003_PreCode_2019.txt,joystick,1,i think it’s actually impossible to fly in the circle.,i think its actually impossible to fly in the circle,TRUE,1
